timestamp,open,high,low,close,volume
2024-06-17,132.99,133.73,129.58,130.98,285204361
2024-06-14,129.96,132.84,128.32,131.88,309320376
2024-06-13,129.39,129.8,127.16,129.61,260704537
2024-06-12,123.06,126.88,122.57,125.2,299595001
2024-06-11,121.77,122.87,118.74,120.91,222551158
2024-06-10,120.37,123.1,117.01,121.79,308134791
2024-06-07,1197.7,1216.9171,1180.22,1208.88,41238580
2024-06-06,1240.48,1255.87,1183.2,1209.98,66469619
2024-06-05,1183.71,1224.495,1174.68,1224.4,52840178
2024-06-04,1157.16,1166.0,1140.45,1164.37,40332401
2024-06-03,1136.21,1150.0,1120.03,1150.0,43839176
2024-05-31,1125.2,1127.17,1069.4,1096.33,61326250
2024-05-30,1146.5,1158.1915,1096.63,1105.0,48735033
2024-05-29,1130.5,1154.92,1109.01,1148.25,55744193
2024-05-28,1102.44,1149.39,1098.83,1139.01,65272789
2024-05-24,1044.49,1064.75,1030.0,1064.69,42949367
2024-05-23,1020.28,1063.2,1015.2,1037.99,83506528
2024-05-22,954.59,960.2,932.49,949.5,54864799
2024-05-21,935.99,954.0,931.8,953.86,32894646
2024-05-20,937.5,952.0,934.4,947.8,31876446
2024-05-17,943.69,947.4,918.06,924.79,35969103
2024-05-16,949.1,958.1899,941.03,943.59,32395182
2024-05-15,924.72,948.62,915.99,946.3,41773545
2024-05-14,895.99,916.51,889.34,913.56,29650708
2024-05-13,904.78,909.98,885.29,903.99,28968017
2024-05-10,903.045,914.01,892.27,898.78,33532541
2024-05-09,905.29,910.72,882.31,887.47,37801268
2024-05-08,894.825,911.94,894.2,904.12,32572102
2024-05-07,910.98,917.8099,890.11,905.54,43734161
2024-05-06,893.9,922.2,890.55,921.4,37620255
2024-05-03,877.89,892.81,870.4,887.89,39834072
2024-05-02,844.49,862.37,832.0,858.17,37789754
2024-05-01,850.77,860.0,812.5456,830.41,55986317
2024-04-30,872.4,888.19,863.0,864.02,36370870
2024-04-29,875.95,879.92,852.66,877.57,38897076
2024-04-26,838.18,883.3093,833.87,877.35,55101078
2024-04-25,788.6801,833.2299,782.23,826.32,42464073
2024-04-24,839.5,840.82,791.83,796.77,51220753
2024-04-23,807.69,827.69,802.64,824.23,43855937
2024-04-22,781.04,800.73,764.0,795.18,59634051
2024-04-19,831.5,843.24,756.06,762.0,87519800
2024-04-18,849.7,861.8999,824.02,846.71,44726034
2024-04-17,883.4,887.75,839.5,840.35,49539951
2024-04-16,864.325,881.18,860.639,874.15,37045302
2024-04-15,890.98,906.13,859.2901,860.01,44307695
2024-04-12,896.99,901.7499,875.3,881.86,42680479
2024-04-11,874.2,907.3899,869.26,906.16,43163727
2024-04-10,839.26,874.0,837.09,870.39,43192853
2024-04-09,874.42,876.35,830.22,853.54,49977974
2024-04-08,887.0,888.3,867.32,871.33,27907532
2024-04-05,868.66,884.81,859.26,880.08,39772878
2024-04-04,904.06,906.3399,858.8,859.05,42886990
2024-04-03,884.84,903.74,884.0,889.64,36759126
2024-04-02,884.48,900.94,876.2,894.52,43137935
2024-04-01,902.99,922.25,892.04,903.63,44811733
2024-03-28,900.0,913.0,891.93,903.56,43521227
2024-03-27,931.12,932.4,891.23,902.5,58606723
2024-03-26,958.51,963.75,925.02,925.61,51364758
2024-03-25,939.41,967.6599,935.1,950.02,55213608
2024-03-22,911.41,947.7799,908.3401,942.89,58671936
2024-03-21,923.0,926.48,904.05,914.35,48037231
2024-03-20,897.97,904.1,882.23,903.72,47906279
2024-03-19,867.0,905.44,850.1,893.98,67217127
2024-03-18,903.88,924.05,870.85,884.55,66897593
2024-03-15,869.3,895.46,862.57,878.365,64208616
2024-03-14,895.77,906.46,866.0,879.44,59711081
2024-03-13,910.55,915.04,884.35,908.88,62726626
2024-03-12,880.49,919.6,861.501,919.13,65437480
2024-03-11,864.29,887.97,841.66,857.74,66611510
2024-03-08,951.379,974.0,865.06,875.28,114226906
2024-03-07,901.58,927.67,896.0201,926.69,60811916
2024-03-06,880.22,897.24,870.3001,887.0,58252030
2024-03-05,852.7,860.97,834.1701,859.64,52063930
2024-03-04,841.3,876.95,837.19,852.37,61561645
2024-03-01,800.0,823.0,794.3503,822.79,47913510
2024-02-29,790.94,799.9,783.5,791.12,50728898
2024-02-28,776.2,789.33,771.25,776.63,39311040
2024-02-27,793.81,794.8,771.62,787.01,39170524
2024-02-26,797.0,806.4599,785.05,790.92,50397273
2024-02-23,807.9,823.94,775.7,788.17,82938837
2024-02-22,750.25,785.75,742.2,785.38,86509974
2024-02-21,680.06,688.88,662.48,674.72,69029813
2024-02-20,719.47,719.56,677.34,694.52,70483310
2024-02-16,741.0,744.02,725.01,726.13,49532662
2024-02-15,738.69,739.75,724.0,726.58,42012181
2024-02-14,732.02,742.36,719.38,739.0,50491742
2024-02-13,704.0,734.5,696.2,721.28,60258015
2024-02-12,726.0,746.11,712.5,722.48,61371018
2024-02-09,705.33,721.85,702.12,721.33,43663689
2024-02-08,700.74,707.94,694.55,696.41,41442211
2024-02-07,683.19,702.2,676.0,700.99,49557455
2024-02-06,696.3,697.5399,663.0,682.23,68311136
2024-02-05,682.25,694.97,672.05,693.32,68007801
2024-02-02,639.74,666.0,636.9,661.6,47657765
2024-02-01,621.0,631.91,616.5,630.27,36914579
2024-01-31,614.4,622.6902,607.0,615.27,45379487
2024-01-30,629.0,634.93,622.6,627.74,41073530
2024-01-29,612.32,624.89,609.07,624.65,34873298
2024-01-26,609.6,617.83,605.73,610.31,39030859
2024-01-25,623.5,627.19,608.5,616.17,48277684
